@relation ProteinFoldsPFRESFeatSelect

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCEE numeric
@attribute adssCHH numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssEHE numeric
@attribute adssHCE numeric
@attribute adssHCH numeric
@attribute adssHEC numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
0.1991,0.5166,0.5118,0.6019,0.5024,0.6398,0.7109,0.4123,0.5687,0.4076,0.5213,0.4692,0.3318,0.6398,0.9336,0.7251,0.7204,0.8626,0.7014,0.545,0.5592,0.4408,0,12,0,4,0,7,0,4,0,0,0,0,0,2.11,g
0.4637,0.4916,0.8715,0.8799,0.2877,0.4302,0.4441,0.6453,0.514,0.6034,0.567,0.4302,0.6229,0.6732,0.595,0.419,0.5251,1.2626,0.7207,0.5503,0.5978,0.1369,0.2654,6,6,0,0,1,4,0,0,0,1,2,3,3.58,p
0.6132,0.3789,0.8737,0.8184,0.2947,0.3474,0.4816,0.6053,0.4158,0.6237,0.4316,0.4447,0.5395,0.6,0.5421,0.4026,0.5132,0.9289,0.7763,0.5053,0.5921,0.0947,0.3132,3,7,0,0,1,2,0,0,0,1,2,1,3.8,p
0.6494,0.3801,0.8524,0.7417,0.2546,0.4022,0.3542,0.7196,0.4096,0.4834,0.5867,0.5129,0.3985,0.6679,0.7085,0.524,0.5277,0.5572,0.952,0.4723,0.5683,0.1882,0.2435,6,4,0,0,1,1,0,0,1,0,1,3,2.71,p
0.2979,0.4894,0.2447,0.383,0.1064,0.4043,0.6596,0.7234,0.2872,0.6702,0.4468,0.4574,0.5,0.5638,0.5106,0.266,0.5851,0.1277,0.4681,0.7234,0.4681,0.5319,0,6,0,1,0,1,0,0,3,0,0,0,0,0.94,t
0.1509,0.4717,0.6792,0.6604,1.4151,0.434,0.7736,0.6604,1.0566,0.3774,0.3208,0.3019,0.4151,0.8679,0.6792,0.5472,0.3585,0.4151,1.0566,0.2453,0.8113,0.1887,0,2,0,1,0,0,0,1,0,0,0,0,0,0.53,-
0.0556,0.5833,0.9722,0.8056,2.2222,0.3611,0.5833,0.4722,0.4444,0.1944,0.1111,0.2778,0.1389,0.3333,0.5556,0.3611,0.0278,0.5,0.8611,0.1667,0.5833,0.2222,0.1944,0,1,0,0,0,0,0,0,0,0,0,0,0.36,-
0.093,0.5581,0.814,0.8837,2,0.7442,0.6512,0.7209,0.4186,0.4186,0.1395,0.093,0.1163,0.3023,0.6279,0.4186,0.5116,0.0233,0.4419,0.4419,0.7209,0.2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,-
0.2564,0.0256,0.7436,0.5128,1.641,0.2564,0.7949,1.0769,0.2051,0.3333,0.1282,0.1282,0.359,0.4103,0.7436,0.4359,0.6154,0,0.1026,0.2564,0.6923,0.3077,0,1,0,0,0,0,0,0,0,0,0,0,0,0.39,-
0.8582,0.5261,0.3843,0.6231,0.1978,0.2575,0.4963,0.7724,0.3321,0.6082,0.6269,0.403,0.5522,0.4851,0.4216,0.4851,0.3955,0.3209,0.3694,0.6119,0.4776,0.1269,0.3955,5,7,0,0,0,3,0,0,0,2,2,1,2.68,s
0.3171,0.5732,0.5366,0.7378,0.2988,0.689,0.8902,0.5488,0.5366,0.5,0.5183,0.7866,0.6585,0.8354,0.7683,0.4268,0.5854,0.311,0.6402,0.622,0.4817,0.439,0.0793,8,1,1,0,1,1,1,5,0,0,0,0,1.64,o
0.8758,0.5719,0.4248,0.7451,0.3268,0.4085,0.2582,0.6797,0.3301,0.4118,0.4314,0.1471,0.2974,0.3529,0.7451,0.3856,0.4641,0.5882,0.3725,0.5327,0.6144,0.0588,0.3268,2,5,0,0,0,2,0,0,0,0,1,1,3.06,r
0.1519,0.2152,1.0759,0.8101,0.3165,0.3671,0.557,0.481,0.6835,0.4557,0.4684,0.9241,0.2405,0.8608,0.2911,0.4684,0.481,0.0633,1.0127,0.4177,0.6076,0.2532,0.1392,2,1,0,0,0,0,0,0,1,0,0,1,0.79,l
0.068,0.3129,1.0408,0.7959,0.3129,0.4558,0.6463,0.5442,0.5374,0.7075,0.4082,1.0272,0.3469,0.6259,0.2313,0.483,0.4898,0.1973,0.932,0.4354,0.4762,0.3605,0.1633,5,1,1,0,0,0,0,1,0,1,0,0,1.47,y
0.2051,0.1538,1.0256,0.641,1.8462,0.5128,0.6154,0.8974,0.6667,0.3846,0,0.1026,0.0769,0.3333,0.7179,0.6667,0.7436,0.0513,0.6923,0.4615,0.7436,0.2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-
0.2818,0.6,0.5636,0.6455,0.3364,0.6364,0.6364,0.5091,0.3545,0.4545,0.6091,0.7091,0.4455,0.4545,0.3545,0.3909,0.2818,0.4818,0.6364,0.3455,0.4182,0.1455,0.4364,1,4,0,0,0,0,0,0,0,0,2,0,1.1,c
1.3297,0.2967,0.5604,0.5714,0.2527,0.7363,0.3516,0.6703,0.3077,0.4066,0.3736,0.6374,0.6374,0.2967,0.6044,0.4505,0.2418,0.1538,0.5055,0.2857,0.5275,0,0.4725,0,3,0,0,0,0,0,0,0,0,2,0,0.91,b
1.1212,0.6263,0.4848,0.6162,0.2626,0.6364,0.4949,0.9192,0.4242,0.5556,0.4848,0.5253,0.5354,0.2727,0.6263,0.4444,0.2929,0.3434,0.4141,0.4242,0.5657,0,0.4343,0,3,0,0,0,0,0,0,0,0,2,0,0.99,b
0.5263,0.8211,0.5474,0.6421,0.4211,0.7474,0.9263,0.2632,0.9684,0.5579,0.6421,0.5684,0.5053,0.7158,0.2211,0.3158,0.3474,0.7053,0.7368,0.2947,0.1895,0,0.8105,0,4,0,0,0,0,0,0,0,0,0,0,0.95,d
0.5189,0.3019,0.3868,1.0377,0.934,0.3019,1.0377,0.2453,0.2736,0.5189,0.3962,0.6226,0.2547,0.4623,0.8774,0.0943,0.283,0.3302,0.4528,0.6509,0.7642,0.0849,0.1509,0,1,0,0,0,0,0,0,0,0,0,0,1.06,z
0.8165,0.8349,0.3028,0.5505,0.2875,0.5076,0.5688,0.6453,0.422,0.5933,0.6177,0.4801,0.4526,0.4526,0.6514,0.4343,0.4098,0.3028,0.3914,0.6789,0.5138,0.0856,0.4006,4,9,0,1,0,3,0,0,0,1,4,2,3.27,s
0.321,1.1605,0.3457,0.6543,0.0741,0.8395,0.9259,0.1852,0.3333,0.1975,0.3704,0.7407,0.1852,0.4074,0.3827,0.4815,0.5432,0.3086,0.4321,0.2593,0.4444,0,0.5556,0,3,0,1,0,0,0,0,0,0,0,0,0.81,c
0.2456,0.5263,0.7895,0.5263,1.4035,0.7719,0.4561,0.8421,0.4737,0.2281,0.1053,0.7368,0.4035,0.1404,1.4561,0.4561,0.2281,0.1228,0.1053,0.4035,0.9649,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,-
0.9451,0.4627,0.5725,0.5647,0.2157,0.4392,0.5843,0.6824,0.0941,0.8549,0.5216,0.6314,0.6667,0.3294,0.2039,0.4353,0.4392,0.1412,0.2471,0.8471,0.4275,0.1451,0.4275,5,7,0,0,0,2,0,0,1,1,2,2,2.55,s
0.8684,0.4342,0.3816,0.3816,0.0921,0.3421,0.6053,0.4868,0.0526,0.75,0.4211,0.9211,0.5526,0.2237,0.4342,0.4605,0.6316,0,0.0526,0.6711,0.3816,0.1316,0.4868,0,3,0,1,0,0,0,0,0,0,1,0,0.76,c
1.1511,0.3381,0.1295,0.5827,0.2086,0.5971,0.9137,0.3669,0.3237,0.4317,0.4748,0.3022,0.1871,0.1655,1.0719,0.5683,0.5324,0.1079,0.0647,0.6259,0.6619,0.2374,0.1007,4,1,1,0,1,0,2,0,0,0,0,0,1.39,z
0.5196,0.6225,0.5637,0.5,0.1667,0.5343,0.4167,0.7059,0.6029,0.7255,0.6373,0.5539,0.5245,0.4804,0.5588,0.4118,0.5049,0.2745,0.5343,0.6716,0.701,0.2304,0.0686,5,0,1,0,1,0,1,0,0,0,0,0,2.04,q
0.645,0.4556,0.6509,0.8166,0.1893,0.1953,0.6154,0.6864,0.4379,0.8935,0.5207,0.6746,0.2071,0.426,0.3018,0.3018,0.4911,0.1065,0.2308,0.8876,0.5148,0.2663,0.2189,5,4,1,0,0,0,1,0,1,1,0,1,1.69,s
0.494,0.6446,0.5783,0.6446,0.1386,0.3614,0.5181,0.5964,0.506,0.6205,0.5241,0.5843,0.3193,0.5663,0.5181,0.259,0.4337,0.2892,0.512,0.7349,0.5301,0.1325,0.3373,3,3,1,0,1,1,1,0,0,1,1,0,1.66,z
0.3611,0.7153,0.4028,0.5833,0.125,0.4306,0.6181,0.6944,0.4167,0.6667,0.5486,0.6181,0.3819,0.4931,0.4583,0.1597,0.3542,0.4236,0.3264,0.4861,0.5,0.2431,0.2569,3,3,1,0,0,1,1,0,0,0,1,1,1.44,z
0.659,0.4424,0.5161,0.5161,0.1659,0.3226,0.447,0.8065,0.5668,0.7327,0.3917,0.4747,0.2258,0.4747,0.2811,0.3041,0.3318,0.212,0.576,0.6682,0.4747,0.1982,0.3272,3,5,0,1,0,0,1,0,0,0,1,0,2.17,q
0.5593,0.3559,0.3898,0.7203,0.0763,0.3983,0.7034,0.6017,0.6271,0.839,0.6695,0.4237,0.3051,0.4153,0.4576,0.3983,0.5678,0.178,0.2712,0.8051,0.4746,0.3051,0.2203,5,2,0,0,0,1,0,1,1,0,0,1,1.18,q
0.3353,0.6243,0.6185,0.5838,0.2948,0.5029,0.5954,0.4682,0.5376,0.5723,0.5434,0.3931,0.2197,0.5376,0.8266,0.6821,0.5491,0.2312,0.3815,0.6243,0.6069,0.3931,0,8,0,1,0,2,0,1,3,0,0,0,0,1.73,g
0.3901,0.5728,0.6037,0.7616,0.5077,0.4861,0.6037,0.6254,0.3684,0.5201,0.3901,0.5201,0.3963,0.4334,0.5139,0.5728,0.4149,0.5294,0.6409,0.6966,0.5944,0.2632,0.1424,8,4,1,1,2,0,1,1,0,1,0,0,3.23,g
0.3565,0.513,0.5913,0.687,0.3565,0.6435,0.7913,0.3217,0.5739,0.8174,0.7043,0.8174,0.6,0.6348,0.4609,0.5478,0.6609,0.3652,0.4522,0.9739,0.3652,0.6087,0.0261,7,0,2,0,2,0,1,2,0,0,0,0,1.15,g
0.7222,0.3954,0.9477,0.5948,0.049,0.5229,0.2974,0.6438,0.2255,0.683,0.549,0.3791,0.4085,0.5359,0.7614,0.6242,0.4412,0.183,0.6601,0.7941,0.5359,0.1503,0.3137,3,7,0,0,0,1,0,0,0,2,1,0,3.06,p
1.1282,0.2821,0.5385,0.7564,0.5385,0.3718,0.5128,0.9359,0.3846,0.4615,0.3462,0.641,0.6282,0.2949,0.4744,0.3846,0.2308,0.2692,0.4231,0.5897,0.6026,0,0.3974,0,2,0,0,0,0,0,0,0,0,1,0,0.78,b
0.512,0.464,0.416,0.6,0.2,0.556,0.62,0.596,0.336,0.788,0.492,0.568,0.332,0.328,0.32,0.388,0.556,0.42,0.42,0.576,0.568,0.14,0.292,5,6,1,1,2,2,1,0,0,1,3,0,2.5,v
0.7033,0.5122,0.4146,0.6098,0.187,0.439,0.6504,0.687,0.1585,0.4919,0.565,0.5732,0.4959,0.4187,0.2683,0.3415,0.4756,0.3659,0.4756,0.565,0.4878,0.0854,0.4268,2,7,0,0,0,1,0,0,0,0,4,0,2.46,v
0.3796,0.5093,0.5093,0.9444,0.2407,0.4352,0.8426,0.3889,0.4074,0.6019,0.8796,0.787,0.6574,0.9815,0.4537,0.2963,0.25,0.3056,0.8796,0.4444,0.3056,0.0278,0.6667,0,5,0,0,0,0,0,0,0,0,1,0,1.08,u
0.4095,0.5905,0.5429,0.819,0.4286,0.4381,0.7048,0.4,0.4286,0.4571,0.6952,0.781,0.8476,0.8667,0.4952,0.5143,0.6381,0.2857,0.7143,0.4381,0.4095,0,0.5905,0,4,0,0,0,0,0,0,0,0,3,0,1.05,q
0.72,0.52,0.4,0.616,0.192,0.536,0.8,0.336,0.528,0.584,0.808,0.736,0.632,0.664,0.624,0.472,0.272,0.664,0.656,0.616,0.352,0,0.648,0,5,0,1,0,0,0,0,0,0,3,0,1.25,u
0.634,0.2941,0.7908,0.6732,0.0719,0.4248,0.5294,0.719,0.3007,0.5752,0.3137,0.5556,0.2418,0.5686,0.5948,0.6863,0.8954,0.6928,0.6144,0.5556,0.5294,0.4706,0,8,0,2,0,3,0,2,1,0,0,0,0,1.53,g
0.3349,0.3853,0.7064,0.8624,0.2064,0.4312,0.7615,0.5138,0.1927,0.4587,0.4358,0.8716,0.3624,0.7385,0.6239,0.367,0.289,0.711,0.6193,0.3991,0.5826,0.2018,0.2156,6,5,0,0,3,2,0,0,0,1,2,1,2.18,l
0.1489,1.1915,0.4894,0.2979,2.1915,0.3404,0.4043,0.6596,0.8723,0.2553,0.1489,0.9787,0.3404,0.7021,0.3617,0.5957,0.5745,0.4894,0.3404,0.2128,0.6596,0.1702,0.1702,1,1,0,0,0,0,0,0,0,1,0,0,0.47,-
0.4037,0.422,0.6147,0.9633,0.1743,0.4587,0.7982,0.3761,0.4312,0.6697,0.9266,0.9817,0.7431,0.8991,0.422,0.3028,0.2385,0.3761,0.8991,0.5138,0.3211,0.0183,0.6606,0,5,0,1,0,0,0,0,0,0,2,0,1.09,u
0.3973,0.6301,0.3288,0.6027,0.1849,0.3219,0.4521,0.8219,0.2877,0.726,0.4178,0.4452,0.6918,0.3836,0.6575,0.363,0.5068,0.3082,0.4247,0.8082,0.4863,0.1712,0.3425,2,3,0,0,0,1,1,0,0,0,2,0,1.46,s
0.2963,0.6914,0.321,0.6173,0.7778,0.6173,0.5802,0.4074,0.5309,0.6543,0.8519,0.5679,0.4444,0.2099,0.716,0.5432,0.4198,0.2593,0.2963,0.6543,0.5679,0.2963,0.1358,4,1,1,0,1,0,0,0,0,1,0,0,0.81,y
0,0.3429,0.2857,0.7429,1.5429,0.6,0.9143,0.1714,0.3714,0.5714,0.5143,0.8571,0.2857,0.2286,0.4571,0.0286,0,0.8,0.5714,0.4857,0.6,0.4,0,2,0,0,0,1,0,0,0,0,0,0,0,0.35,-
0.349,0.547,0.7953,0.7718,0.4094,0.4564,0.4463,0.4899,0.6007,0.7617,0.6242,0.4698,0.4161,0.6644,0.604,0.5034,0.5369,0.8591,0.6611,0.5302,0.5839,0.151,0.2651,7,5,1,0,1,5,1,0,0,3,0,1,2.98,p
0.3779,0.4793,0.5161,0.576,0.4931,0.2857,0.3963,0.6682,0.3963,0.5991,0.4931,0.4793,0.6221,0.5346,0.47,0.4378,0.5253,0.212,0.5115,0.7281,0.447,0.4516,0.1014,13,2,3,0,3,0,3,4,0,0,0,0,2.17,n
0.7347,0.3265,0.449,0.5034,0.1905,0.3878,0.4422,0.7075,0.6054,0.4762,0.6327,0.6395,0.3673,0.483,0.2925,0.4422,0.2925,0.2449,0.381,0.5986,0.2653,0,0.7347,0,6,0,2,0,0,0,0,0,0,2,0,1.47,a
0.3661,0.5738,0.5792,0.8361,0.3443,0.541,0.6612,0.5683,0.3443,0.4809,0.4536,0.5519,0.3169,0.6557,0.7596,0.4645,0.4973,0.5574,0.776,0.5956,0.5464,0.3825,0.071,8,1,2,0,4,1,2,1,0,0,0,0,1.83,o
0.3042,0.6958,0.6844,0.8669,0.0837,0.4259,0.654,0.4525,1.0875,0.692,0.5627,0.4867,0.8289,0.9049,0.635,0.3346,0.2928,0.673,1.5247,0.4905,0.5437,0.0798,0.3764,1,7,0,1,0,0,0,0,0,0,3,1,2.63,g
0.2797,0.3136,0.5424,0.5169,0.1441,0.2627,0.5085,0.661,2.7288,0.5169,0.3983,0.4407,0.2542,0.4576,0,0.4068,0.3475,0.1017,0.8729,0.4322,0.5847,0.4153,0,6,0,1,0,0,0,1,4,0,0,0,0,1.18,m
0.1961,0.549,0.6078,0.7059,1.8039,0.6667,0.6471,0.8627,0.7059,0.2941,0.1961,0.5686,0.1961,0.3922,0.5686,0.5686,0.3529,0.1961,0.5686,0.4706,0.7843,0.2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,-
0.677,0.5031,0.528,0.7267,0.1739,0.4596,0.8261,0.5839,0.5093,0.9565,0.6335,0.528,0.4472,0.3851,0.2981,0.5466,0.4161,0.1242,0.528,0.795,0.4099,0.1491,0.441,2,4,0,1,0,0,0,0,0,1,0,1,1.61,s
0.223,0.5,0.7365,0.7162,0.5473,0.777,0.8311,0.1892,0.5473,0.5203,0.5608,0.6351,0.5541,0.5338,0.3784,0.527,0.4527,0.2703,0.5068,0.4392,0.3919,0.0541,0.5541,1,6,0,1,0,1,0,0,0,0,3,1,1.48,e
0.2803,0.4394,0.5682,0.7576,0.4697,0.4394,0.8561,0.6212,0.2273,0.6061,0.4924,0.9621,0.5455,0.553,0.1288,0.3788,0.9773,0.4318,0.2803,0.7803,0.2879,0.5985,0.1136,10,2,0,0,0,0,0,7,0,0,0,0,1.32,o
0.1712,0.4865,0.6486,0.5045,0.2252,0.6396,0.5405,0.5856,0.4865,0.6847,0.5225,0.7748,0.4234,0.7027,0.4414,0.4865,0.8739,0.4865,0.6036,0.7117,0.4685,0.5315,0,6,0,0,0,2,0,1,2,0,0,0,0,1.11,w
0.66,0.4067,0.4533,0.5467,0.06,0.4667,0.6067,0.66,0.06,0.7733,0.4333,0.5,0.24,0.2533,0.3467,0.3467,0.5867,0.0333,0.3133,0.7533,0.4333,0.3,0.2667,5,3,2,0,0,0,1,0,0,1,0,0,1.5,v
0.2545,0.6545,0.2909,0.7636,0,0.4909,0.7091,0.4364,0.2,0.5273,0.2,0.9091,0.4182,0.7091,0.5455,0.4364,0.2545,0.2727,0.5273,0.5636,0.6364,0.2727,0.0909,2,0,1,0,0,0,1,0,0,0,0,0,0.55,v
0.8084,0.3174,0.497,0.5449,0.4192,0.3952,0.7784,0.7904,0.2395,0.5689,0.479,0.6587,0.4251,0.4491,0.4192,0.3473,0.4311,0.2036,0.5329,0.6826,0.485,0.1796,0.3353,3,5,0,0,0,2,0,0,1,1,0,2,1.67,s
0.1343,0.3881,0.7164,0.5821,1.2985,0.5373,0.8358,0.7015,0.6567,0.2836,0.2836,0.4328,0.403,0.6418,0.7761,0.4776,0.3881,0.209,0.9403,0.2687,0.6866,0.194,0.1194,2,1,0,0,1,1,0,0,0,0,0,0,0.67,-
0.3099,0.4225,0.6479,0.9155,0.3662,0.7606,0.831,0.6901,0.3944,0.4085,0.2817,0.6056,0.2394,0.4789,0.6901,0.4648,0.4789,0.5634,0.5634,0.4648,0.6056,0.3944,0,4,0,1,0,1,0,1,1,0,0,0,0,0.71,k
0.1574,0.7037,0.5185,0.4815,0.1852,0.6574,0.7778,0.4074,0.4074,0.7315,0.8148,0.713,0.5278,0.3981,0.3241,0.2963,0.6481,0.2593,0.3056,0.5833,0.25,0.0556,0.6944,0,3,0,0,0,0,0,0,0,0,2,0,1.08,e
0.3278,0.55,0.5444,0.5667,0.1167,0.5222,0.55,0.5389,0.2667,0.6444,0.7722,0.5611,0.4778,0.4111,0.1667,0.3667,0.4722,0.35,0.3889,0.5444,0.4778,0.2278,0.2944,6,5,1,0,1,2,1,0,0,3,0,0,1.8,t
0.641,0.3004,0.8278,0.7399,0.2857,0.5458,0.2308,0.8718,0.2711,0.5934,0.5385,0.3626,0.2527,0.707,0.5385,0.7766,0.4212,0.4835,0.8168,0.5128,0.5568,0.1575,0.2857,6,5,0,0,1,4,0,0,0,3,0,2,2.73,p
0.6454,0.3262,0.4681,0.7163,0.2482,0.383,0.4113,0.6879,0.2837,0.922,0.5319,0.539,0.5177,0.4184,0.3901,0.4823,0.5106,0.2199,0.3759,0.9504,0.383,0.1915,0.4255,3,4,0,0,0,0,0,0,1,0,0,0,1.41,s
0.2941,0.4575,0.6405,0.6471,0.5882,0.8627,0.6144,0.4379,0.5163,0.5163,0.5425,0.6405,0.5229,0.6536,0.719,0.5882,0.5359,0.3268,0.5425,0.4575,0.4771,0.5229,0,11,0,2,0,5,0,3,2,0,0,0,0,1.53,m
0.5738,0.2131,0.4098,0.6393,0,0.3934,0.6393,0.3607,0.0656,0.3934,0.3115,0.6557,0.2623,0.4754,0.1311,0.3279,0.9836,0.3115,0.541,0.459,0.2787,0.4262,0.2951,3,1,0,0,0,0,0,0,1,0,0,0,0.61,y
0.2581,0.7527,0.5376,0.6989,0.2366,0.5376,0.6882,0.2151,0.4731,0.3871,0.3333,0.7742,0.3226,0.7634,0.5699,0.3763,0.2688,0.4839,1.1183,0.2366,0.4086,0,0.5914,0,4,0,1,0,0,0,0,0,0,1,0,0.93,c
0.3579,0.8947,0.7053,0.5579,0.2105,0.4421,0.7474,0.4,0.7789,0.6,0.4316,0.8105,0.1789,0.2526,0.4947,0.4421,0.4211,0.8526,0.3474,0.3474,0.5579,0.0632,0.3789,0,3,0,1,0,0,0,0,0,0,1,0,0.95,c
1.121,0.7823,0.1895,0.7339,0.2056,0.4073,0.75,0.4113,0.2944,0.6774,0.8105,0.375,0.3992,0.3347,0.5,0.371,0.3065,0.1129,0.2379,0.625,0.4476,0.121,0.4315,3,10,0,1,0,2,0,0,0,0,3,2,2.48,p
0.2692,0.8462,0.3654,0.6538,0,0.4615,0.4808,0.3462,0.1154,0.8269,0.5,0.8654,0.3846,0.2692,0.4038,0.25,0.0385,0.5192,0.4038,0.7885,0.4808,0.5192,0,4,0,1,0,1,0,0,1,0,0,0,0,0.52,k
0.3916,0.3554,0.2952,0.3855,0.1627,0.5964,0.6205,0.6145,0.4036,0.7289,0.494,0.5542,0.3795,0.2651,0.241,0.3675,0.3735,0.3373,0.3735,0.6747,0.506,0.1205,0.3735,2,4,1,1,0,0,0,0,0,0,1,0,1.66,v
0.2083,0.7083,0.2708,0.3542,1.6667,0.3333,0.4375,0.9167,0.0625,0.4583,0.4375,0.75,0.4375,0.1875,0.4167,0.3333,0.375,0.2917,0.2292,0.2917,0.75,0.2083,0.0417,1,0,0,0,0,0,0,0,0,0,0,0,0.48,-
0.5833,0.3833,0.7333,0.3833,0,0.6333,0.2667,0.8,0.1167,0.5333,0.4333,0.2667,0.3333,0.4333,0.1333,0.9333,0.4833,0.4333,0.3167,0.6167,0.5667,0.3333,0.1,3,0,1,0,1,0,1,0,0,0,0,0,0.6,p
0.7826,0.2681,0.6304,0.587,0.2464,0.3188,0.2029,0.6667,0.4928,0.3261,0.1957,0.413,0.2319,0.5362,1.1522,1.0217,0.9565,0.1957,0.4348,0.6522,0.7174,0.2536,0.029,3,0,0,0,1,0,0,0,0,0,0,0,1.38,h
0.2857,0.5179,0.8571,0.7054,0.2143,0.5893,0.6875,0.1696,0.2232,0.4554,0.6696,0.7054,0.5268,0.3839,0.8482,0.4196,0.3661,0.1518,0.2679,0.2589,0.4107,0.0357,0.5536,0,5,0,1,0,0,0,0,0,0,3,0,1.12,e
0.2807,0.6404,0.8158,0.7281,0.3772,0.4474,0.614,0.3509,0.5,0.8333,0.4386,0.9035,0.4035,0.7281,0.6053,0.4912,0.5088,0.5,0.6053,0.6754,0.5175,0.4211,0.0614,5,1,1,0,2,0,0,0,0,1,0,0,1.14,l
0.2177,0.5403,0.8145,0.7419,0.3065,0.5323,0.6452,0.5565,0.2177,0.9597,0.5081,0.7016,0.3387,0.5484,0.3226,0.6694,0.6935,0.4113,0.3629,0.8226,0.4032,0.4597,0.1371,7,1,2,0,2,0,1,2,0,0,0,0,1.24,l
0.3177,0.5,0.3854,0.6979,0.151,0.4479,0.6198,0.6146,0.6042,0.5365,0.3125,0.5052,0.2917,0.4479,0.8698,0.4219,0.6458,0.5469,0.7031,0.5208,0.6615,0.3229,0.0156,8,0,1,0,4,0,1,1,0,0,0,0,1.92,h
0.2877,0.4589,0.6712,0.8082,0.2945,0.411,0.5274,0.5068,0.9658,0.4315,0.5137,0.3014,1.0616,0.7877,0.5342,0.3562,0.5274,0.5274,0.6438,0.774,0.5685,0.363,0.0685,4,0,0,0,1,0,0,0,0,0,0,0,1.46,h
0.3668,0.598,0.3568,0.6131,0.1558,0.397,0.5879,0.6935,0.6281,0.5025,0.3317,0.4925,0.3015,0.4221,0.8894,0.4121,0.6382,0.4573,0.7487,0.5126,0.6935,0.3065,0,7,0,1,0,5,0,1,0,0,0,0,0,1.99,h
0.25,0.4868,0.6908,0.9145,0.2697,0.4276,0.5526,0.5066,0.8947,0.4408,0.5,0.375,1.0066,0.7368,0.5724,0.3553,0.5789,0.4671,0.6382,0.7039,0.5526,0.3618,0.0855,5,0,1,0,1,0,1,1,0,0,0,0,1.52,h
0.3464,0.5475,0.4302,0.5196,0.1564,0.3966,0.6145,0.5475,0.6983,0.5698,0.3464,0.4972,0.3128,0.486,0.7989,0.4525,0.5587,0.6425,0.8324,0.5922,0.6145,0.3352,0.0503,7,0,1,0,1,0,1,1,0,0,0,0,1.79,h
0.255,0.5034,0.6242,0.7987,0.1678,0.4228,0.5168,0.557,0.9866,0.4094,0.5436,0.396,0.9732,0.7919,0.5101,0.2953,0.557,0.5302,0.651,0.698,0.5369,0.4027,0.0604,7,0,2,0,2,0,1,1,0,0,0,0,1.49,h
0.9058,0.6014,0.3261,0.6812,0.3043,0.3261,0.5797,1.2899,0.5145,0.8623,0.4638,0.4275,0.5,0.3841,0.3986,0.2754,0.4203,0.1667,0.3043,1.0072,0.5435,0.1739,0.2826,3,4,0,0,0,0,0,0,1,1,2,0,1.38,s
0.6849,0.4566,0.3425,0.8037,0.0913,0.653,0.7626,0.3562,0.484,0.6164,0.863,0.5068,0.4201,0.3881,0.4429,0.3516,0.4429,0.2055,0.484,0.5251,0.4018,0.1233,0.4749,2,7,0,2,1,1,0,0,0,0,2,1,2.19,v
0.5311,0.2712,0.7966,0.661,0.0734,0.3955,0.3164,0.774,0.2768,0.3729,0.3672,0.1977,0.2486,0.4915,0.3559,0.7119,0.8136,0.6158,0.6497,0.435,0.5141,0.4859,0,10,0,2,0,2,0,2,4,0,0,0,0,1.77,j
0.3832,0.5381,0.601,0.7822,0.294,0.3885,0.3465,0.8373,0.4619,0.5276,0.4541,0.3832,0.3648,0.3885,0.6168,0.5696,0.7297,0.4856,0.5696,0.4961,0.6483,0.3517,0,18,0,7,0,6,0,7,1,0,0,0,0,3.81,j
0.2453,0.3774,0.3962,0.6792,2.1509,0.4906,0.4528,1.0943,0.3962,0.1509,0.1509,0.1132,0.0943,0.3585,1.4151,0.3962,0.3962,0.1132,0.6038,0.3208,0.8491,0.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,-
0.375,0.6429,1.1607,0.8214,1.875,0.625,0.4464,0.7143,0.7857,0.25,0.3036,0.4643,0.0893,0.3214,0.8214,0.3214,0.4286,0.1071,0.4464,0.2143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,-
0.1509,0.8302,0.717,0.566,2.0566,1.0566,0.434,0.9057,0.7358,0.1509,0.2453,0.3585,0.0755,0.283,0.9245,0.4151,0.4528,0.2075,0.3019,0.283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,-
